序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
1,2013-12-03,11:01,34306002,01,JMZX-XXXX,---,*,,*,,494,-0.6,
2,2013-12-03,11:01,34306002,02,JMZX-XXXX,---,*,,*,,500,0.0,
3,2013-12-03,11:01,34306002,03,JMZX-XXXX,---,*,,*,,514,1.4,
4,2013-12-03,11:01,34306002,04,JMZX-XXXX,---,*,,*,,500,0.0,
5,2013-12-03,11:01,34306002,05,JMZX-XXXX,---,*,,*,,512,1.2,
6,2013-12-03,11:01,34306002,06,JMZX-XXXX,---,*,,*,,503,0.3,
7,2013-12-03,11:01,34306002,07,JMZX-XXXX,---,*,,*,,500,0.0,
8,2013-12-03,11:01,34306002,08,JMZX-XXXX,---,*,,*,,501,0.1,
9,2013-12-03,11:01,34306002,09,JMZX-XXXX,---,*,,*,,497,-0.3,
10,2013-12-03,11:01,34306002,10,JMZX-XXXX,---,*,,*,,499,-0.1,
11,2013-12-03,11:01,34306002,11,JMZX-XXXX,---,*,,*,,501,0.1,
12,2013-12-03,11:01,34306002,12,JMZX-XXXX,---,*,,*,,505,0.5,
13,2013-12-03,11:01,34306002,13,JMZX-XXXX,---,*,,*,,501,0.1,
14,2013-12-03,11:01,34306002,14,JMZX-XXXX,---,*,,*,,501,0.1,
15,2013-12-03,11:01,34306002,15,JMZX-XXXX,---,*,,*,,503,0.3,
16,2013-12-03,11:01,34306002,16,JMZX-XXXX,---,*,,*,,503,0.3,
17,2013-12-03,11:01,34306002,17,JMZX-XXXX,---,*,,*,,501,0.1,
18,2013-12-03,11:01,34306002,18,JMZX-XXXX,---,*,,*,,501,0.1,
19,2013-12-03,11:01,34306002,19,JMZX-XXXX,---,*,,*,,501,0.1,
20,2013-12-03,11:01,34306002,20,JMZX-XXXX,---,*,,*,,503,0.3,
21,2013-12-03,11:01,34306002,21,JMZX-XXXX,---,*,,*,,508,0.8,
22,2013-12-03,11:01,34306002,22,JMZX-XXXX,---,*,,*,,511,1.1,
23,2013-12-03,11:01,34306002,23,JMZX-XXXX,---,*,,*,,506,0.6,
24,2013-12-03,11:01,34306002,24,JMZX-XXXX,---,*,,*,,503,0.3,
25,2013-12-03,11:01,34306002,25,JMZX-XXXX,---,*,,*,,506,0.6,
26,2013-12-03,11:01,34306002,26,JMZX-XXXX,---,*,,*,,500,0.0,
27,2013-12-03,11:01,34306002,27,JMZX-XXXX,---,*,,*,,501,0.1,
